Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),LIVING_UNIT1:Zone Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Air Relative Humidity [%](TimeStep),LIVING_UNIT1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Air Relative Humidity [%](TimeStep),CRAWLSPACE_UNIT1:Zone Air Relative Humidity [%](TimeStep),Whole Building:Facility Total Purchased Electricity Energy [J](TimeStep),Whole Building:Facility Total Surplus Electricity Energy [J](TimeStep),Whole Building:Facility Net Purchased Electricity Energy [J](TimeStep),DAYSOFWEEK:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Photovoltaic:ElectricityProduced [J](TimeStep),Cogeneration:ElectricityPurchased [J](TimeStep),Cogeneration:ElectricitySurplusSold [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep) 
 08/01  04:05:00,18.0166666666667,67.4166666666667,0,0,23.6012938668744,50.518408584029,15,25.3110008239746,74.5317357943667,64.5669010845609,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  04:10:00,17.9333333333333,67.8333333333333,0,0,23.562759458152,50.6656875563162,15,25.2851657867432,74.6323644446815,64.6836651493953,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  04:15:00,17.85,68.25,0,0,23.5236506246431,50.815617559807,15,25.2593326568604,74.7329575951264,64.8008731342369,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  04:20:00,17.7666666666667,68.6666666666667,0,0,23.4830619249708,50.9706539825688,15,25.2334995269775,74.833877708252,64.9183969695427,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  04:25:00,17.6833333333333,69.0833333333333,0,0,23.4410722954633,51.130434489474,15,25.2076663970947,74.935153731112,65.0368125160705,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  04:30:00,17.6,69.5,0,0,23.398057319741,51.2937470725289,15,25.1818332672119,75.0364819958975,65.1563554121506,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  04:35:00,17.5166666666667,69.9166666666667,0,0,23.3543365347949,51.4595756368255,15,25.1560001373291,75.1373324201227,65.2768038146819,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  04:40:00,17.4333333333333,70.3333333333333,0,0,23.3101006407126,51.6272839996082,15,25.1301670074463,75.2371030530599,65.397744177803,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  04:45:00,17.35,70.75,0,0,23.2654491587193,51.7965265542003,15,25.1043338775635,75.3352317652531,65.5187054157361,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  04:50:00,17.2666666666667,71.1666666666667,0,0,23.220439157878,51.9670746358479,15,25.0785007476807,75.431213978944,65.6394108699426,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  04:55:00,17.1833333333333,71.5833333333333,0,0,23.175112807636,52.1387563473585,15,25.0526676177979,75.5246182213144,65.7598433447924,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  05:00:00,17.1,72,0,0,23.1295069678609,52.3114157296284,15,25.0268325805664,75.615063868337,65.8798966626484,36963.2611793077,0,36963.2611793077,1,36963.2611793077,0,0,0,36963.2611793077,0,0
 08/01  05:05:00,17.0333333333333,72.25,0,0,23.0843267267922,52.4735664531047,15,25.0009994506836,75.6945777669323,65.991072104731,61620.9452552657,0,61620.9452552657,1,61620.9452552657,0,0,0,61620.9452552657,0,0
 08/01  05:10:00,16.9666666666667,72.5,0,0,23.0403194621777,52.6255408480066,15,24.9803333282471,75.7651182756391,66.0910053611914,61620.9452552657,0,61620.9452552657,1,61620.9452552657,0,0,0,61620.9452552657,0,0
 08/01  05:15:00,16.9,72.75,6.75,0,22.9982101511649,52.7680995275908,15,24.9596672058105,75.8325851747834,66.1806379586221,51702.3976818581,0,51702.3976818581,1,61620.9452552657,0,0,10331.8203889662,51702.3976818581,0,0
 08/01  05:20:00,16.8333333333333,73,7.5,0,22.9572224445598,52.905276088911,15,24.9389991760254,75.8893009894488,66.2618465944075,50604.9262304842,0,50604.9262304842,1,61620.9452552657,0,0,11475.0198174808,50604.9262304842,0,0
 08/01  05:25:00,16.7666666666667,73.25,8.25,0,22.916452175388,53.0404218637185,15,24.9183330535889,75.9243237355323,66.3360065617992,49506.6067511086,0,49506.6067511086,1,61620.9452552657,0,0,12619.102608497,49506.6067511086,0,0
 08/01  05:30:00,16.7,73.5,9,0,22.875460254432,53.1749727384092,15,24.8976669311523,75.9386745037788,66.4039116222873,48407.4519171744,0,48407.4519171744,1,61620.9452552657,0,0,13764.0555605118,48407.4519171744,0,0
 08/01  05:35:00,16.6333333333333,73.75,13.1666666666667,0.166666666666667,22.8347828965145,53.3071492974099,15,24.8770008087158,75.9414101754102,66.4660849416896,42279.7202203588,0,42279.7202203588,1,61620.9452552657,0,0,20147.1094113613,42279.7202203588,0,0
 08/01  05:40:00,16.5666666666667,74,17.3333333333333,0.333333333333333,22.7948781561631,53.4354390789761,15,24.8563327789307,75.9336464793514,66.5229760587435,723802.201042232,0,723802.201042232,1,749274.276132882,0,0,26533.41155276,723802.201042232,0,0
 08/01  05:45:00,16.5,74.25,21.5,0.5,22.7559055944419,53.5593216770697,15,24.8356666564941,75.9051553908413,66.5749801659033,1025921.29950841,0,1025921.29950841,1,1057533.61672136,0,0,32929.4970968286,1025921.29950841,0,0
 08/01  05:50:00,16.4333333333333,74.5,25.6666666666667,0.666666666666667,22.7182095818068,53.677684912577,15,24.8150005340576,75.8435965223639,66.6224192931497,23851.8081954883,0,23851.8081954883,1,61620.9452552657,0,0,39342.8511039347,23851.8081954883,0,0
 08/01  05:55:00,16.3666666666667,74.75,29.8333333333333,0.833333333333333,22.6814527425033,53.791644469654,15,24.7943325042725,75.7415880174774,66.6661124575672,17683.5750644136,0,17683.5750644136,1,61620.9452552657,0,0,45768.0939488043,17683.5750644136,0,0
